idx,bytes,buffer_size,time
335,4096,79,1682322420909
336,4096,152,1682322420909
337,4096,200,1682322420910
338,4096,506,1682322420910
339,4096,14,1682322420944
340,4096,30,1682322420945
341,4096,13,1682322420945
342,4096,15,1682322420945
343,4096,146,1682322420946
344,4096,51,1682322420946
345,4096,397,1682322420946
346,4096,100,1682322420947
347,4096,75,1682322420947
348,4096,483,1682322420947
349,4096,254,1682322420948
350,4096,479,1682322420948
351,4096,489,1682322420948
352,4096,302,1682322420949
353,4096,37,1682322420949
354,4096,346,1682322420949
355,4096,78,1682322420950
356,4096,356,1682322420950
357,4096,286,1682322420950
358,4096,82,1682322420951
359,4096,636,1682322420951
360,4096,330,1682322420951
361,4096,463,1682322420952
362,4096,182,1682322420952
363,4096,56,1682322420952
364,4096,67,1682322420953
365,4096,273,1682322420953
366,4096,52,1682322420953
367,4096,115,1682322420954
368,4096,21,1682322420954
369,4096,275,1682322420954
370,4096,365,1682322420955
371,4096,174,1682322420955
372,4096,264,1682322420955
373,4096,309,1682322420956
374,4096,239,1682322420956
375,4096,1035,1682322420957
376,4096,1207,1682322420957
377,4096,297,1682322420957
378,4096,167,1682322420958
379,4096,171,1682322420958
380,4096,424,1682322420959
381,4096,638,1682322420960
382,4096,333,1682322420960
383,4096,449,1682322420960
384,4096,14,1682322420961
385,4096,849,1682322420961
386,4096,242,1682322420962
387,4096,189,1682322420962
388,4096,269,1682322420962
389,4096,752,1682322420963
390,4096,155,1682322420963
391,4096,245,1682322420963
392,4096,28,1682322420964
393,4096,35,1682322420967
394,4096,104,1682322420967
395,4096,195,1682322420968
396,4096,126,1682322420968
397,4096,257,1682322420968
398,4096,120,1682322420969
399,4096,497,1682322420972
400,4096,15,1682322420983
401,4096,15,1682322420983
402,4096,66,1682322420983
403,4096,31,1682322420984
404,4096,100,1682322420984
405,4096,15,1682322421015
406,4096,15,1682322421015
407,4096,411,1682322421015
408,4096,917,1682322421016
409,4096,692,1682322421016
410,4096,15,1682322421041
411,4096,15,1682322421042
412,4096,143,1682322421042
413,4096,118,1682322421042
414,4096,26,1682322421043
415,4096,15,1682322421083
416,4096,15,1682322421083
417,4096,30,1682322421084
418,4096,21,1682322421084
419,4096,229,1682322421084
420,4096,56,1682322421085
421,4096,15,1682322421114
422,4096,15,1682322421115
423,4096,173,1682322421115
424,4096,25,1682322421115
425,4096,125,1682322421116
426,4096,15,1682322421149
427,4096,15,1682322421149
428,4096,224,1682322421149
429,4096,79,1682322421150
430,4096,40,1682322421150
431,4096,15,1682322421180
432,4096,15,1682322421180
433,4096,201,1682322421181
434,4096,128,1682322421181
435,4096,141,1682322421181
436,4096,15,1682322421212
437,4096,16,1682322421212
438,4096,55,1682322421212
439,4096,202,1682322421213
440,4096,83,1682322421213
